transaction_amount,urgency_score,sender_reputation,receiver_reputation,account_age,velocity,unusual_hour,weekend_flag,device_trust,location_trust,geographic_risk,cross_border,high_risk_country,currency_risk,sanctions_risk,identity_verification,document_quality,biometric_match,suspicious_patterns,ml_anomaly_score,email_risk,communication_anomaly,business_context,urgency_language,relationship_history,merchant_reputation,transaction_context,authorization_method,network_risk,consortium_intel,is_fraud
0.041223907905231914,0.5321529112734005,0.8792147295117241,0.6717163725171356,0.5634983533458626,0.1522487893642077,0.030847926617394716,0.19686359964942188,0.6854995722096442,0.7657255021413125,0.11173253332916425,0.4373024464613018,0.2097012865770199,0.11340113977546477,0.32733664408234425,0.9224215922006185,0.9583739469226442,0.6967710354198351,0.19618866979583288,0.19733624724565327,0.407129502825781,0.4230669037031659,0.8087274149034841,0.10708088671531063,0.6811151359106467,0.9585044555062499,0.8380833534518489,0.9145136259537929,0.16518709861733835,0.2570706695957925,0
0.24667221872236017,0.5298841791990099,0.5957693344884071,0.7252110980792205,0.9740168526600558,0.17137560744706032,0.01663274133582794,0.0888918029656563,0.5471715164841552,0.8087576197036768,0.4251383277642386,0.1220828036108762,0.011513051700453036,0.24563382210790596,0.2297389366810582,0.7776827548114809,1.0,0.9033410967356871,0.266982903936062,0.14863360050477167,0.4475720793657527,0.2700619810974524,0.7644063288133771,0.07258409655508984,0.9170387370787683,0.9270016512633364,0.8169288867911086,0.9370622990050707,0.26267852585739765,0.12768463987172957,0
0.184309164824367,0.5944982387447898,0.5828049481762022,0.7898214819642344,0.9420412282621988,0.19858997599538955,0.0685376431689765,0.05343803374908683,0.5591782577004427,0.7026156481788325,0.11269211906368935,0.04741659292327783,0.04231473721211947,0.12777433205014108,0.05062033267561021,0.6930222688249507,1.0,0.850193567633736,0.11966448119361417,0.19693475443513872,0.09105240822899767,0.3261465225190068,0.670943003598899,0.2102690037929568,0.8172894015939406,0.6781332097546237,0.9005825824949996,1.0,0.1537218654536468,0.0309974854028758,0
0.03359967632571828,0.40517716928540654,0.797701927192445,0.5829142867181888,0.9005860167125638,0.2933380117105912,0.02137000918729184,0.029645439889565733,0.8453718027806271,0.7369723035875627,0.09360730677304104,0.27111391631886567,0.045180421212041404,0.2034806406957435,0.016680141858165815,0.6276224949887644,0.6504980582129577,0.6361125653758464,0.05778648633895918,0.17623266102575266,0.13370590196301652,0.30208389911028577,0.8045546841393488,0.29002417344700243,1.0,0.86212572504486,0.7123230156444565,0.8659010069834422,0.17082342015639138,0.037189834461067925,0
0.06310260116222252,0.21326890683918448,0.49252518443763,0.6096137927721139,0.7854598511163634,0.16052574909291972,0.3521443808125027,0.12232738616833604,0.6240428688129095,0.7882392764011378,0.22057250636591016,0.07270421638369659,0.18855554743084083,0.17310551182349576,0.2859377415858754,0.9717238269932879,0.8857071836406696,0.8831879878480329,0.20246461047900238,0.2063219348249687,0.1467397436688997,0.3297671136570514,0.8619892083294058,0.11104026008338355,0.8947510397531471,0.9696960072187207,0.8434964299536658,0.5969707594128428,0.4535410280919088,0.057308282547539356,0
0.2674486898473579,0.3688918123953151,0.819167618899007,0.6338457575883992,1.0,0.22385735932153805,0.06479819540055085,0.15393138363828554,0.5580496811998391,0.7408445315091264,0.3029979438003907,0.17132708316693412,0.08374860260652224,0.17809331095972847,0.20160368772679116,0.7447402248403445,0.8252368230983465,0.9083986586455438,0.20235048821392881,0.14813723125472353,0.06955701778064635,0.06939975883013287,0.7262694579992536,0.23188027424603028,0.8693337656201369,0.6450048005656124,0.5708781444085056,0.8718403484564301,0.054837232557648274,0.25636285568061334,0
0.20451326358954228,0.24935516332107863,0.813386979695303,0.8236651958416706,0.6017967876601722,0.16035718319869563,0.11741862021299466,0.019566220294889976,0.7739096392398479,0.8122919836886623,0.15990871376794003,0.07075351008739954,0.03615121487740915,0.21428149973050256,0.14011612113852717,1.0,0.8840054646660915,0.9625337196433854,0.2684281533546123,0.14698430745063268,0.18382877923096425,0.48596074874445944,0.5899632395515872,0.3207343511267351,0.8844962616823618,0.9249313040863837,0.7396478007239826,0.9334835786717822,0.27189735652961633,0.3192356525893938,0
0.043561294886111955,0.19117856295734884,0.8505096990509555,0.49725164865888627,0.5932660474442131,0.3339661390117596,0.016537369223514956,0.14305116183174824,0.7265653801194115,0.7894012533492387,0.08124322523763589,0.1202326323660766,0.013309946113189525,0.23669570567633633,0.149752925948203,0.9165537814723034,0.95331692311594,0.9844979979415869,0.18685791002862404,0.3388277927831428,0.355083924415523,0.24823683012171882,0.8773332541961096,0.27368056809464697,0.9556626040726445,0.7699823718076814,0.7410222029265741,1.0,0.08837804572710063,0.14532039765458388,0
0.24316137248406974,0.007833339130004393,0.9241718798658088,0.8587862787312169,0.833630713862601,0.19495292852584434,0.03822166645825601,0.3357312203103312,0.8674672009504483,0.8741253483972292,0.39855538809240826,0.14392812107104413,0.05722772232966583,0.1244157150491858,0.15063875454231987,1.0,1.0,0.9113589919642777,0.11144806108005996,0.07111839077985317,0.12287905621164259,0.184034081588889,0.7305316665174214,0.08151352581365184,0.9442678815199516,0.5484711492037863,0.7913529480420035,0.9905728667332432,0.07147275872039001,0.12295551930567424,0
0.4081669275657994,0.3801352514830581,0.6151862184066331,0.6119321596630379,0.9437925144954518,0.23627434827621244,0.03664893412656088,0.031539562533330186,0.8587728084105808,0.8357864366863443,0.45485533260764954,0.28546893555200314,0.1423883431598945,0.23698490727447175,0.2721201378693343,1.0,0.8364719178127583,1.0,0.5909158860670511,0.3542152435929027,0.25230970203828584,0.39019901612415275,0.7368200229382625,0.0376135179503609,0.8623475233703491,0.9632749466869327,0.6787243606518369,0.4784890663863765,0.27688011968999626,0.3437074950258719,0
